CLEAN_ANSWER,LANGUAGE,EMOJIS,final_sentiment,sarcasm,suggestion,suggestion_text,suggestion_type,emotion,tone,urgency_flag,impact_level,responsible_party,action_flag
رااائعين,ur,,Positive,No,No,None,None,satisfaction,enthusiastic,No,Low,None,No
ان تكون الشروط واضحة واي مبالغ سيتم دفعها سابقاً,ar,,Neutral,No,Yes,"User suggests that terms and conditions, especially regarding advance payments, should be clear.",Operational Improvement,confusion,polite,No,Low,management,Yes
شكرا,ar,,Positive,No,No,None,None,gratitude,grateful,No,Low,None,No
فريق الصيانه أتى على الوقت وسلم التلفاز في وقت قياسي,ar,,Positive,No,No,None,None,satisfaction,grateful,No,Low,delivery team,No
تبسيط او وضع ايقونه خاصة لخدمة الصيانه بعد البيع لاني تعبت لحد ما وصلت للصيانه,ar,,Negative,No,Yes,Simplify or add a special icon for after-sales maintenance service to improve accessibility.,Operational Improvement,frustration,frustrated,Yes,High,customer service,Yes
No,no,,Neutral,No,No,None,None,satisfaction,informal,No,Low,None,No
"بصراحة خدمة إكسترا من أفضل خدمات مابعد البيع،،،،",ar,,Positive,No,No,None,None,satisfaction,grateful,No,Low,None,No
شكرا للفني,ar,,Positive,No,No,None,None,gratitude,grateful,No,Low,technical support,No
شكراً,ar,,Positive,No,No,None,None,gratitude,grateful,No,Low,None,No
شكرا لكم,ar,,Positive,No,No,None,None,gratitude,grateful,No,Low,None,No
Well trained maintenance team needed,en,,Negative,No,Yes,Need for a well-trained maintenance team,Operational Improvement,disappointment,informal,No,High,management,Yes
شكرا اكسترا من القلب,ar,,,,,,,,,,,,
‏ممتاز,ar,,Positive,No,No,None,None,satisfaction,grateful,No,Medium,None,No
"I Request if u can have few English speaking employees, who can explain about products. Thanks",en,,Positive,No,Yes,Provide English-speaking employees to explain products.,Operational Improvement,None,polite,No,Medium,customer service,Yes
اشكركم جزيلا علي اهتمامكم بالعملاء من جميع الجهات,ar,,Positive,No,No,None,None,gratitude,grateful,No,Low,None,No
أرجو الاهتمام باصحاب الظروف الخاصه ووضع مرشدين لمساعدهم,ar,,Neutral,No,Yes,User suggests providing guides or assistance for people with special circumstances.,Operational Improvement,worry,polite,No,High,management,Yes
لا اعلم لماذا يصلح الفريق,ar,,Neutral,No,No,None,None,confusion,informal,No,Medium,None,Yes
الاهتمام بالزبون وشرح كل تقاصيل المنتج والشروط والأحكام  بخصوص المتج التوصيل والتركيب بواسطة الموظف قبل إتمام عملية الشراء وتحمل مسؤلية القصور في اي مرحلة واطالب بتعويض عن الضرر الذي لحق بي من هذا القبيل,ar,,Negative,No,Yes,"Customer demands compensation for damages and suggests improved customer care, thorough explanation of product details, terms, and conditions by staff before purchase, and accountability for any shortcomings during the process.",Complaint,anger,angry,Yes,High,management,Yes
شكراً لكم .. التوصيل في وقته المناسب,ar,,Positive,No,No,None,None,"['gratitude', 'satisfaction']","['grateful', 'polite']",No,Low,delivery team,No
سرعة الاجابه والدقه في التوصيل,ar,,Positive,No,No,None,None,satisfaction,grateful,No,Low,None,No
Already paid for product but didn't receive item for past 10 days and your staff at Unaizah branch don't give concret answer,en,,Negative,No,Yes,Customer needs to receive the product they paid for and obtain concrete answers from Unaizah branch staff regarding the issue.,Complaint,frustration,frustrated,Yes,High,customer service,Yes
Variety & competitive prices,en,,Positive,No,No,None,None,satisfaction,polite,No,Low,None,No
تعامل الموظفه جدا كويس وراقي,ar,,Positive,No,No,None,None,satisfaction,polite,No,Low,customer service,No
يكون فيه قسم خاص لذوي الاحتياجات الخاصه,ar,,Positive,No,Yes,Special section for people with special needs,Feature Request,satisfaction,polite,No,Medium,management,Yes
لا,ar,,Negative,No,No,None,None,disappointment,disappointed,No,Low,None,Yes
مدري,fa,,Neutral,No,No,None,None,confusion,informal,No,Low,None,No
Delivery and installation employees must be prohibited from asking for extra fees that are not included in the service invoice… it's a shame that an employee of extra charges extra for installation services that were already paid for,en,,Negative,No,Yes,Prohibit delivery and installation employees from asking for extra fees not included in the invoice.,Operational Improvement,frustration,frustrated,Yes,High,delivery team,Yes
الاتصال بوقت مبكر جدا ( 10 صباحا )مع طلبه لموقع المنزل بالاضافة الى توصيله للشحنة الساعة 3:30 عصرا,ar,,Negative,No,Yes,Improve coordination between address confirmation calls and actual delivery times.,Operational Improvement,frustration,frustrated,No,Medium,delivery team,Yes
can we book a maintenance schedule through online  plateform?,en,,Neutral,No,Yes,Ability to book maintenance schedule through online platform,Feature Request,confusion,polite,No,Low,technical support,Yes
لا يوجد شيء أوصي به. الخدمه ممتازه,ar,,Positive,No,No,None,None,satisfaction,polite,No,Low,None,No
Staff behaviour very stupidity on date 16 night 9:30pm  he is cahiser first of all train him how to deal with customers,en,,Negative,No,Yes,Suggests training for cashier on how to deal with customers.,Operational Improvement,anger,angry,Yes,High,management,Yes
Thanks,en,,Positive,No,No,None,None,gratitude,grateful,No,Low,None,No
‏يوجد الكثير من الموظفين في إكسترا من غير نافع,ar,,Negative,No,No,None,None,frustration,frustrated,Yes,High,management,Yes
Good best Salesman best price,en,,Positive,No,No,None,None,satisfaction,enthusiastic,No,High,sales,No
ضمان اكسترا رائع جدا ويستحق ثمنه,ar,,Positive,No,No,None,None,satisfaction,enthusiastic,No,Low,None,No
شرح الموظف للمنتجات مثل السابق,ar,,Neutral,No,No,None,None,satisfaction,informal,No,Low,sales,No
أقترح ان يكون هناك شرح تفصيلي اكثر لمكونات المنتج عند التسوق عبر الموقع,ar,,Neutral,No,Yes,Request for more detailed explanation of product ingredients when shopping online.,Feature Request,confusion,polite,No,Low,management,Yes
جودة التركيب فقط,ar,,Negative,No,No,None,None,disappointment,disappointed,No,Medium,delivery team,Yes
حبذا من يقوم بالتوصيل عنده معلومة ولو بسيطة عن المنتج وليس عامل توصيل (حمال فقط) لا يعرف قيمة المنتج وأهميته والية التعامل معه .,ar,,Negative,No,Yes,"Delivery staff should have basic knowledge about the product they are delivering, including its value and proper handling.",Operational Improvement,disappointment,disappointed,Yes,High,delivery team,Yes
خدمة التوصيل ممتازه و التركيب ايضاً شكراً جزيلاً,ar,,Positive,No,No,None,None,gratitude,grateful,No,Low,delivery team,No
شكرااا,ar,,Positive,No,No,None,None,gratitude,grateful,No,Low,None,No
Thankful,en,,Positive,No,No,None,None,gratitude,grateful,No,Low,None,No
إمكانية تحديد اليوم بنفسي,ar,,Positive,No,Yes,User wants to be able to choose the delivery/service day themselves.,Feature Request,disappointment,polite,No,Low,delivery team,Yes
لا شي,ar,,Positive,No,No,None,None,satisfaction,informal,No,Low,None,No
للجوده,ar,,Positive,No,No,None,None,satisfaction,informal,No,Low,None,No
توصيل الطلب سيئه جدا,ar,,Negative,No,No,None,None,frustration,frustrated,Yes,High,delivery team,Yes
Good,so,,Positive,No,No,None,None,satisfaction,polite,No,Low,None,No
اعتقد الية ان الموظف لا يقوم بالتوصيل حتى يستلم رمز التسليم اليه غير جيدة نامل النظر فيها ودمتم,ar,,Negative,No,Yes,Customer suggests reconsidering/changing the policy that requires the delivery employee to receive a code before delivery.,Operational Improvement,disappointment,polite,No,Medium,delivery team,Yes
لايوجد,ar,,Neutral,No,No,None,None,confusion,informal,No,Low,None,No
شكرا لكم,ar,,Positive,No,No,None,None,gratitude,grateful,No,Low,None,No
مممتاز,ar,,Positive,No,No,None,None,satisfaction,enthusiastic,No,Low,None,No
شغل ممتاز وراقي في التعامل,ar,,Positive,No,No,None,None,satisfaction,grateful,No,Low,customer service,No
شكرا,ar,,Positive,No,No,None,None,gratitude,grateful,No,Low,None,No
شكرا لاكسترا,ar,,Positive,No,No,None,None,gratitude,grateful,No,Low,None,No
شغل جميل ورائع,ar,,Positive,No,No,None,None,satisfaction,enthusiastic,No,Low,None,No
I did not know who was delivering what u til the courier contacted me. At least do the curtesy of telling your customers which courier will deliver what. Not the date but at least the company name or something…,en,,Negative,No,Yes,Suggests informing customers which courier company will deliver their order.,Operational Improvement,frustration,frustrated,No,Low,delivery team,Yes
Best service,fr,,Positive,No,No,None,None,satisfaction,polite,No,Low,None,No
Don't send dirty filthy replacements to your customers,en,,Negative,No,Yes,Stop sending dirty/filthy replacements to customers,Complaint,frustration,frustrated,Yes,High,delivery team,Yes
شكرا لكم استمروا,ar,,Positive,No,No,None,None,gratitude,grateful,No,Low,None,No
جميع بطاقات فيزا وليست بطاقه واحده,ar,,Neutral,No,No,None,None,confusion,informal,No,Low,None,Yes
ممتازينا,ar,,Positive,No,No,None,None,satisfaction,enthusiastic,No,Low,None,No
تعامل خدمة العملاء  في المعرض,ar,,Neutral,No,No,None,None,satisfaction,informal,No,Low,customer service,No
thank you so much,en,,Positive,No,No,None,None,gratitude,grateful,No,Low,None,No
"The sales executive tried to push sell another brand product, even though I clearly mentioned which brand I wanted.",en,,Negative,No,No,None,None,frustration,frustrated,No,Medium,sales,Yes
لا,ar,,Negative,No,No,None,None,disappointment,disappointed,No,Low,None,Yes
التوصيل الموظفين سيئين غير متعاونين,ar,,Negative,No,No,None,None,frustration,frustrated,Yes,High,delivery team,Yes
"اضافة لوحة تفاعلية بعد بوابة الدخول، بحيث تسمح للزبون اخذ نبذة سريعة عن الاشياء الموجودة في المعرض مع الاسعار",ar,,Positive,No,Yes,Add an interactive board after the entrance for quick overview of exhibition items and prices.,Operational Improvement,satisfaction,polite,No,Low,management,Yes
الكونترول للأجهزة تكون موحدة وليس كل جهاز في كونتر معين عملية الدفع تكون كذا مرة,ar,,Negative,No,Yes,Unify device control system and streamline the multi-step payment process.,Operational Improvement,frustration,frustrated,Yes,High,None,Yes
شكرا,ar,,Positive,No,No,None,None,gratitude,grateful,No,Low,None,No
Your card offers are not mentioned properly,en,,Negative,No,Yes,Improve clarity in mentioning card offers,Operational Improvement,disappointment,disappointed,No,Medium,management,Yes
لا يوجد رد من الرد الالي كل ما اتصل ما احد يرد على مكالاماتي واجلس نص ساعة,ar,,Negative,No,Yes,Improve call response time and reduce waiting period,Operational Improvement,frustration,frustrated,Yes,High,customer service,Yes
.xbox,so,,Neutral,No,No,None,None,confusion,informal,No,Low,None,No
الاقتراح يكون للعميل قدره انه يختار وقت التوصيل اذا صباحي او مسائي افضل ما يجي عامل التوصيل و يحط لي الشحنه برا لمده اكثر من ٦ ساعات,ar,,Negative,No,Yes,Customer should be able to choose morning or evening delivery time to prevent packages from being left outside for extended periods.,Operational Improvement,disappointment,disappointed,Yes,High,delivery team,Yes
اضافة محافظة الحناكية في خيارات التوصيل المنزلي,ar,,Neutral,No,Yes,Request to add Al-Hanakiya Governorate to home delivery options.,Feature Request,satisfaction,polite,No,High,management,Yes
انتقاء شركات تركيب مكيفات محترمة وليست عمالة مجهولة من موسسات صغيرة تسئ لاكسترا في تركيب المكيفات,ar,,Negative,No,Yes,Customer suggests Extra should select reputable AC installation companies rather than unknown labor from small institutions to improve service quality.,Operational Improvement,frustration,frustrated,Yes,High,delivery team,Yes
الساىق لم يرضى يوصل الطلب بعد ما أخذ حق المشوار وأنا طالب التوصيل مجاني,ar,,Negative,No,No,None,None,frustration,frustrated,Yes,High,delivery team,Yes
لابد يكونو فنيين فاهمين,ar,,Negative,No,Yes,Technicians need to be knowledgeable/understanding.,Operational Improvement,disappointment,disappointed,No,High,technical support,Yes
شكرا للمبييعات,ar,,Positive,No,No,None,None,gratitude,grateful,No,Low,sales,No
Nothing,en,,Neutral,No,No,None,None,satisfaction,informal,No,Low,None,No
Well Done,de,,Positive,No,No,None,None,satisfaction,polite,No,Low,None,No
Did the work professionally,en,,Positive,No,No,None,None,satisfaction,polite,No,Low,None,No
فريق الصيانه أروع ناس ونعم فيهم واتمنى تعطونهم مكافأة يستاهلون ما قصرو معي أبدا,ar,,Positive,No,Yes,Give the maintenance team a bonus for their excellent work,Operational Improvement,gratitude,grateful,No,Low,management,Yes
من افضل ما يكون,ar,,Positive,No,No,None,None,satisfaction,enthusiastic,No,High,None,No
لم يحظر فني الصيانه,ar,,Negative,No,No,None,None,disappointment,disappointed,Yes,High,delivery team,Yes
Thanks,en,,Positive,No,No,None,None,gratitude,grateful,No,Low,None,No
لم يكمل العمل وجاء مستعجل وقال بكرة اجيك والى اليوم ماجاني,ar,,Negative,No,No,None,None,disappointment,disappointed,Yes,High,delivery team,Yes
سرعة الإصلاح,ar,,Negative,No,Yes,Improvement in repair speed,Operational Improvement,frustration,frustrated,Yes,High,technical support,Yes
اتمنى يكون للعملاء نظام نقاط ويتم استبدالها عن طريكم,ar,,Positive,No,Yes,Customer suggests implementing a loyalty points system that can be redeemed.,Feature Request,satisfaction,polite,No,Low,management,Yes
الاهتمام اكثر بالعميل بخصوص الاسعار,ar,,Negative,No,Yes,More attention regarding prices,Complaint,disappointment,informal,No,High,sales,Yes
شكرا استاذ ياسر,fa,,Positive,No,No,None,None,gratitude,grateful,No,Low,None,No
الاستجابة بطيئة ولم يتم فهم المشكلة ولا حلها,ar,,Negative,No,No,None,None,"['frustration', 'disappointment']","['frustrated', 'disappointed']",Yes,High,customer service,Yes
Thanks extra,en,,Positive,No,No,None,None,gratitude,grateful,No,Low,None,No
لا يوجد,ar,,Neutral,No,No,None,None,satisfaction,polite,No,Low,None,No
الجهاز جربتة عند الاستلام لا زال عطلان طيب ليش ترسلي رسالة وتقول تعال استلم,ar,,Negative,Yes,No,None,None,anger,sarcastic,Yes,High,technical support,Yes
من خلال تعاملي مع الشركة وما وجدته من انطباع الناس انكم اسواء شركة في الية الصيانة والتعامل مع العميل فقد عانيت جدا حتى وصلت اليكم للأسف,ar,,Negative,No,No,None,None,anger,angry,Yes,High,technical support,Yes
لا يوجد,ar,,Neutral,No,No,None,None,satisfaction,informal,No,Low,None,No
لم يتم اصلاح العطل - تم العمل بشكل جزئي ولكن لم يتم الاصلاح / تعامل الفريق  جيد,ar,,Negative,No,No,None,None,disappointment,disappointed,Yes,High,technical support,Yes
لم يتم تصليح العطل كذالك اود التواصل مع الاداره,ar,,Negative,No,Yes,User wants to communicate with management regarding the unaddressed defect.,Complaint,frustration,frustrated,Yes,High,management,Yes
"I have bought a laptop with extra insurance coverage but unfortunately I'm leaving saudi in couple of months so I went back to return the insurance only as I won't need it anymore ,I asked the staff and after waiting for almost half an hour , they told me that it has already passed 7 days from preached date which was round counting he added an extra day to make it 8 days and refused to refund my insurance coverage which was very disappointing.",en,,Negative,No,No,None,None,disappointment,disappointed,Yes,High,customer service,Yes
ممتاز جدا,fa,,Positive,No,No,None,None,satisfaction,enthusiastic,No,High,None,No
Great maintenance service i had a great experience last time,en,,Positive,No,No,None,None,satisfaction,grateful,No,High,delivery team,No
الكاشيير يتأخر كثيرا في خدمة الزبائن مساء بشكل مزعج,ar,,Negative,No,Yes,Address cashier slowness during evening hours.,Operational Improvement,frustration,frustrated,Yes,High,management,Yes
شكرا احمد,ar,,Positive,No,No,None,None,gratitude,grateful,No,Low,None,No
خفض الاسعار,ar,,Negative,No,Yes,Request to lower prices,Operational Improvement,disappointment,disappointed,Yes,High,management,Yes
Specislist Sales person should b at their respective product location all times to educate the customer,en,,Negative,No,Yes,Specialist salespersons should always be available at their product locations to educate customers.,Operational Improvement,disappointment,professional,No,High,sales,Yes
تواجد الموظفين في امكان العرض,ar,,Negative,No,Yes,Employees' presence in display areas.,Operational Improvement,disappointment,disappointed,No,Low,management,Yes
خدمه ممتازه وشرح وافي,ar,,Positive,No,No,None,None,satisfaction,grateful,No,Low,customer service,No
Expert technicians needs to be sent out with delivery team to ensure proper installation,en,,Negative,No,Yes,Send expert technicians with delivery team to ensure proper installation.,Operational Improvement,frustration,professional,Yes,High,delivery team,Yes
العمل على سهولة الموقع وانسيابيته,ar,,Neutral,No,Yes,Improve website ease and fluidity,Operational Improvement,frustration,polite,No,High,technical support,Yes
You must have professional delivery team has a good communication skills,en,,Negative,No,Yes,Delivery team needs professional communication skills.,Operational Improvement,disappointment,informal,No,High,delivery team,Yes
Thank you,en,,Positive,No,No,None,None,gratitude,grateful,No,Low,None,No
توفير كميرات جديده من سوني وجميع اصدراتها ب اسعار ارخص من امازونن,ar,,Neutral,No,Yes,User suggests providing new Sony cameras and their versions at prices cheaper than Amazon.,Feature Request,disappointment,informal,No,Low,management,Yes
Make your employees know what they are saling,en,,Negative,No,Yes,Employees should be knowledgeable about the products/services they sell.,Operational Improvement,frustration,frustrated,Yes,High,management,Yes
Nice,ro,,Positive,No,No,None,None,satisfaction,informal,No,Low,None,No
رفعه كفاءة فريق الصيانه لعملىالصيانه بشكل افضل,ar,,Negative,No,Yes,Improve maintenance team efficiency.,Operational Improvement,disappointment,professional,No,Medium,delivery team,Yes
توفير ممارات واسعه في المعارض,ar,,Positive,No,Yes,Wider aisles in exhibitions,Operational Improvement,disappointment,polite,No,Medium,management,Yes
"Clear delivery process, ability to change, answering queries on phone and WhatsApp, storing my purchase history to review with clear details",en,,Positive,No,No,None,None,satisfaction,polite,No,High,customer service,No
الا اتعامل معكم مرة اخرى,ar,,Negative,No,No,None,None,anger,angry,Yes,High,None,Yes
اقترح ان يكون هناك استلام لجميع المنتجات من المعرض مباشره,ar,,Neutral,No,Yes,Allow direct pickup of all products from the showroom.,Operational Improvement,disappointment,polite,No,Low,management,Yes
ممتاز,ar,,Positive,No,No,None,None,satisfaction,enthusiastic,No,Low,None,No
عروض ممتازه وحقيقية,ar,,Positive,No,No,None,None,satisfaction,enthusiastic,No,Low,None,No
زياده في اقساط تابي وتمارا عشان سهوله للعميل,ar,,Positive,No,Yes,Suggests increasing Tabby and Tamara installment options for customer convenience.,Feature Request,satisfaction,informal,No,Medium,billing,Yes
توفير عروض ووسائل دفع ميسره وبالتقصيد,ar,,Positive,No,Yes,"Request for offers, easy payment methods, and installment options.",Feature Request,satisfaction,polite,No,Medium,management,Yes
انخفاض الأسعار او وجود عروض مستمره,ar,,Neutral,No,Yes,User suggests lower prices or ongoing promotions.,Operational Improvement,disappointment,informal,No,Low,sales,Yes
A more attentive sales person will be nice,en,,Negative,No,Yes,Improve sales person attentiveness,Operational Improvement,disappointment,polite,No,Medium,sales,Yes
No response after sales . Still WiFi dies not connect to my phone,en,,Negative,No,No,None,None,"['frustration', 'disappointment']","['frustrated', 'disappointed']",Yes,High,technical support,Yes
Very good staff,af,,Positive,No,No,None,None,satisfaction,polite,No,Low,customer service,No
ان يكون طلب الصيانة اسهل,ar,,Negative,No,Yes,User suggests making the maintenance request process easier.,Operational Improvement,disappointment,polite,No,Medium,management,Yes
لا شئ,ar,,Neutral,No,No,None,None,satisfaction,informal,No,Low,None,No
If you but call center 24 hours,en,,Negative,No,Yes,Call center should operate 24 hours,Operational Improvement,frustration,frustrated,No,High,customer service,Yes
كل شي توب ومعامله محترمه جدا,ar,,Positive,No,No,None,None,satisfaction,grateful,No,Low,None,No
