CLEAN_ANSWER,LANGUAGE,EMOJIS,SENTIMENT
لا يوجد,ar,,Neutral
اتصال عل. العميل او رسالة على هل يوجد أي شي او ماهي افضل التنزاع الاستخدامات الصابون للملابس والتنظيف الاهواز والفلاتر  لكي يكون العميل على وعي,ar,,Positive
Good,so,,Positive
Staff asked for payment proif so i needed  to screenshot from app,en,,Negative
شكرا,ar,,Positive
They were very cooperative and knowledgeable,en,,Positive
الموظفين يجهلون تفاصيل المنتجات وكل واحد يوجهني لاحد ثاني ومحد له خلق يشتغل تحسهم يبون يصرفون العميل باي طريقة كانت ومعلوماتهم مغلوطة ومحدودة عن المنتجات .. تجربة تسوق سيئة في اكسترا جدة - فرع الفيحاء .. الرجاء التحقيق اكثر في الموضوع لان هذه اخر مرة اروح الفرع السيء هذا,ar,,Negative
ممتاز,ar,,Positive
"I am still suffering from the problem of the iPhone 16 overheating and the product has not been replaced due to a manufacturing defect, as I cannot put the device to my ear to talk only using the speaker for fear of the device exploding",en,,Negative
The staff at the store was very nice and the haves good experience,en,,Positive
وفقكم الله تجربة ممتازة مع اكسترا,ar,,Positive
زياده راتب الشباب على تعاملهم الراقي مع الناس 🩵🩵.,ar,🩵🩵,Positive
لايوجد,ar,,Neutral
اولا حاب اشكرا فريق الصيانة على تقديمهم الخدمة بشكل مميز وسرعة في التنفيذ والدقة في المواعيد والشكرا ايضا اللي موظف المبيعات ولجميع العاملين في اكسترا فرع منقطة الحدود الشمالية عرعر,ar,,Positive
فقط احب اشكر الاستاذ احمد نبيل,ar,,Negative
Keep it up,af,,Positive
ان يكون المنتج البديل على اقل تقدير مطابق من حيث المواصفات وتحسين سرعة الصيانه,ar,,Neutral
تسريع خدمة الإصلاح او توفير بديل بعد ٤٨ ساعة,ar,,Negative
لا يحضرني حاليا,ar,,Negative
اتمنى الاستغناء عن المدير المصري المتواجد في الفرع اللذي لا يمثل اكسترا ولا موظفين اكسترا رجل مهمل جدا تم شراء شاشة وتم تجهيزها لي وقعدت نصف ساعة انتظره حملها لي في السيارة ولم يعطي اي تجاوب حتى جاء موظف سعودي مشكور مانتظر عمال ولا شيءٍ جابها وحملها في السيارة هو فقط,ar,,Negative
Nice product,ro,,Positive
"اتمنى تدريب الموظفين على الاحترافية في التعامل وعدم اللخبطة في فواتير واسماء الزبائن ، ا",ar,,Positive
تغيير فرع الاستبدال,ar,,Positive
لم يتم الاصلاح ومازال الخلل متكرر برغم طلب المتابعه,ar,,Negative
مرونة اكبر في استخدام بطاقات القسائم وتحسين خدمات الصيانة وزيادة فروعها,ar,,Positive
موضوع التوصيل المنزلي للادوات المنزلية الكبيرة يحصل فيه بعض الإهمال من عمال التوصيل و يصل غالبا فيه بعض الخدوش و الاصابات,ar,,Positive
Quick maintenance,fr,,Positive
Good,so,,Positive
عند تكرر العطل من نفس الجهاز يجب ايجاد حل جذري للمشكلة,ar,,Neutral
We should Customers rights to refuse for any insurance,en,,Negative
"Please leave shoppers alone, sellers don't let you shop.",en,,Negative
VERY GOOD STAFF,de,,Positive
"Improvement in customer service required, some customer do lot of inquiries which ultimately resulted in negative impact and impression in the minds of other customers waiting in queue. Please reduce customer waiting time as soon as customer comes for billing.",en,,Neutral
سرعة الخدمه و تعامل المؤظف,ar,,Positive
شكرا,ar,,Positive
شكرا لاداره صيانه اكسترا والفني القائم بالصيانة,ar,,Positive
تعاملهم ممتاز,ar,,Positive
شكرا,ar,,Positive
"A better view of items locations in shop, for example: because of brand support laptops are kept in multiple locations.",en,,Neutral
الأمور طيبة,ar,,Negative
شركة غير صادقة في مواعيدها للصيانة نهائيا,ar,,Negative
ممتاز,ar,,Positive
👍🏻👍🏻,emoji,👍🏻👍🏻,Neutral
العمال غير منظمين و تركوا الاوساخ خلفهم و اثاث الغرفه توسخ,ar,,Negative
الخدمة جدا ممتازة,ar,,Positive
كل شي رائع👍🏻,ar,👍🏻,Positive
دقه وانضباط في المواعيد وعناصر فنيه مدربه جدا,ar,,Positive
لم يتم إبلاغي من قبل موظف المبيعات بخصوص  استاند الوحده الخارجيه تفاجأت بعمال التركيب انه سعر إضافي 60 ريال إستغلال كذا تخلي الزبون ينحرج مع العمال,ar,,Negative
"سرعة التركيب ومغادرة المنزل مباشرة بعد الانتهاء والحرص على نظافة المكان من الأتربة وآثار الحفر الناتجة عن عملية التركيب، فقد أصبحت الغرفة تعج بالأتربة في كل مكان",ar,,Positive
سرعه تجهيز الطلب وتسليمه,ar,,Positive
التقيد بالموعد والتوقيت المناسب والتواصل الجيد إلا ان الكرتون عليه طبقة غبار بكمية متوسطة,ar,,Neutral
فريق ممتاز و متعاون ولديه خبرة ممتازة,ar,,Positive
اتمنى ان يكون موظفين التواصل مثل المجموعة التى وصلت ثلاجتي تعاملهم ممتاز جداً,ar,,Positive
لا يوجد,ar,,Neutral
"توفير عدد أكبر من المنتجات ، كنت أبغي أشتري أيفون ١٥ لونه أسود ما حصلت اللون",ar,,Positive
ممتاز,ar,,Positive
Thanks,en,,Positive
خدمه ما بعد البيع,ar,,Positive
الموظفين قليل جداً والزباين شبه ضايعين بحثًا عن مساعده,ar,,Negative
تغيير الموقع أو الآب اونلاين لان الآب القديم كان افضل اما الجديد فيه معلومات ولكن لا يمكن طلب خدمة الصيانة منه بشكل سهل وميسر,ar,,Negative
ان يكون ضمان اكسترا صحيح مثل مايقال عند الاشتراك وان يكون فيه مصداقيه في ذلك,ar,,Positive
غلاء فاحش,ar,,Negative
"الرجاء القيام بتركيب الاجهزة، لا يوجد فائدة من توصيلها فقط. استطيع الذهاب الى المستودع لأخذها",ar,,Negative
Pc,pl,,Positive
الصدق والوضوح مع العميل.,ar,,Positive
تعامل واخلاق الموظف وشرحه للمنتج واقناعه لعضوية جود,ar,,Positive
The service is ok but there is always a shortage of extra workers and many times we have to wait and look for someone to help us. So Please make sure you have enough workers in all area and make sure they are quick to attend to all customers. Thank You,en,,Neutral
"Don't have any idea, everything is good",en,,Positive
شكر خاص للموظف عبد الله الشهري كان متعاون ومحترم والطاقم جميعهم مشكورين,ar,,Positive
الموظفين جميعهم بلا استثناء خلوقين وخدومين ومبادرين,ar,,Positive
Really  l enjoy  the shopping,en,,Positive
لا شي خدمه متميزه وراااقية,fa,,Positive
تحديد وقت التوصيل التقريبي من بداية اليوم على الأقل,ar,,Positive
لا يوجد,ar,,Neutral
Compare to other. Extra price are normal.,en,,Neutral
All of staff,en,,Positive
Focus on first come first serve,en,,Positive
Need to have some nonarabic staff which will help your customers,en,,Positive
اتمنا دوام التقدم والازدهار لكم,ar,,Positive
"Customer support after selling, bacause most of tge product available on other stores and your support and trust what made me choose you",en,,Positive
اشكر الاستاذ عبدالله القرشي على حسن التعامل,ar,,Positive
"Replace technical staff and entire management who deal repairing. After submitting 6 times, My watch till now having issues and I don't want to visit for repair again. Extra lost my trust.",en,,Negative
تطوير تطبيق الموبايل للافضل وتحسين سرعة التطبيق,ar,,Positive
زيادة العروض,ar,,Positive
لا شكرا,ar,,Negative
ماشاءالله كل شي ممتاز سرعة التجاوب مع العميل شكرا اكسترا,ar,,Positive
🤙🏻,emoji,🤙🏻,Neutral
توزيع القهوه بلاك,ar,,Positive
وجود كفتريا تجعل التسوق فترة اطول,ar,,Negative
وجودتكم علياء وخدماتكم جدا جميلة,ar,,Positive
شكرا جزيلا,ar,,Positive
شكرا لك,ar,,Positive
الف شكر,ar,,Positive
التعامل جميل جدا جدا,ar,,Positive
سرعة التوصيل,ar,,Positive
Thank you,en,,Positive
Hire a female worker ik beauty products for woman,en,,Positive
شكرا,ar,,Positive
شكرا لكم,ar,,Positive
تخفيض سعر جود بلس,ar,,Positive
"يوجد تخفيض 10% في منتج ابل ايباد، ولم يتم احتسابه اثناء الدفع. اطالب باسترجاع مبلغ الخصم",ar,,Negative
الأشخاص الذين يوصلون إلى المنزل سيأين جدا ولا يفهون شيء في التركيب,ar,,Negative
شكراً,ar,,Positive
خدمة عملاء ممتازه,ar,,Positive
زيادة عدد موظفي خدمة البيع وبالمعارض حيث إنني تحولت في قسم أدوات   المطبخ مدة ١٠ دقايق دون ان احصل علي موظف استفسر منه عن المنتجات المعروضة,ar,,Negative
خصومات أكثر,ar,,Negative
Very good,af,,Positive
لا يوجد,ar,,Neutral
Full installation and removal services included,en,,Positive
تعاون الموظفين جميعهم لديهم المعلومات المفيدة  للحصول على المنتج ساعدني كثير للاستفادة والشراء,ar,,Positive
لا شي,ar,,Neutral
The availability of products should be in all branches pls,en,,Positive
الاحترافية,ar,,Positive
Convenience,fr,,Positive
Your service is below than average. Almost 3 weeks to repair the washing machine. I did not benefit from the warranty and you did not gave me temporary machine during this period. I really disappoint !!!!,en,,Negative
Good service,en,,Positive
English speaking,en,,Positive
ممتاذ,ar,,Positive
Because good service,en,,Positive
Excellent,ca,,Positive
اشتريت مطأطأ من التطبيق لم استلمه وعند السؤال عن طريقه الإرجاع افاد بزياره المعرض,ar,,Negative
Nice behaviour,en,,Positive
Jerwin employee,en,,Positive
"الخصومات الحقيقية والتنافسية، افضل عرض وجدته في السوق",ar,,Positive
خيار الإلغاء ضروري أو في حالة تغير راي في الطلب من الضروري وجود خيارات استلام في مدينة ثاني لو,ar,,Negative
Ac indoor unit was drop down by technician. May performance of Ac Will be doubtful.,en,,Negative
من الاحسن يكون تركيب من اكسترا مباشرة علشان جودة تركيب,ar,,Neutral
ممتازين,ar,,Positive
الموظف علي والطاقم الذي معه رائع وخلوق,ar,,Positive
ممتاز الي سوه لي الصيانة وماهر يعني بالعمل المصري,ar,,Positive
اتمنى تكنون صادقين مو نصابيين,ar,,Negative
اتمنى ان جودة الخدمة والمواد المستخدمة ذو جودة عاليه,ar,,Positive
ولا شي,ar,,Neutral
اخذنا البراده للبيت بس ماشتغلت,ar,,Negative
شكرا,ar,,Positive
لاشي,ar,,Negative
الفني سيد  كان جدا ممتاز بالتعامل وحل المشكله,ar,,Positive
قد صلحت جوال قبل جوالي الجديد ولطعوني شهر وقالو في تعويض وللحين ساحبين,ar,,Negative
سرعة الشحن والتوصيل,ar,,Positive
الملاحظة انه كان عندي مكيف راكب من قبل ولما وصل فريق التركيب أفادوني بان نظام اكسترا يمنع تركيب المكيف المشتراء من قلبكم حتى يفرغ المكان المراد التركيب فيه . مما اضطرني إلى دفع مبلغ لتهيئة المكان علماً بان خدمات العملاء لم يبلغوني مسبقاً .. أتمنى أن ينظر بالموضوع لتسهيل عملية تركيب المكيفات بشكل افضل وعدم مضيعة الوقت في المستقبل,ar,,Negative
اعجبني دقة الالتزام بالموعد ولباقة الفني,ar,,Positive
رائع كللل شئ,ar,,Positive
توفير معدات حماية شخصية لعمالكم,ar,,Positive
انا لست راض على ما قمتم به وهو اجرة النقل وانا شاري منتجات من عندكم  بمبلغ ٨٣٠٠ نقريبا,ar,,Negative
لا,ar,,Neutral
شكرا,ar,,Positive
شكرا لكم,ar,,Positive
خدمه اكثر من ممتازه,ar,,Positive
تم التوصيل فقط ولم يتم التركيب .. أتمنى بعد أسبوعين ان يتم التركيب إذا ذهبت إلى المنزل الجديد,ar,,Negative
كل شي تمام وسريع,ar,,Positive
ان يكون التوصيل اسرع من ٥ ايام,ar,,Negative
فهم الاشكال وايجاد الحل المشروع,ar,,Positive
Smooth payment and good price,en,,Positive
v good,sl,,Positive
اكسترا الافضل بالجودة و الاسعار,ar,,Positive
علشان تعديل موعد استلام  احتاج سالفه طويله,ar,,Positive
ممكن زيادة مدة التقسيط الى ١٢ شهر وكذلك ممكن اضافة ضمان مجاني للمنتجات,ar,,Positive
More verity of products & more offers.,en,,Positive
مد ساعات عمل مركز الصيانة لضيق الوقت,ar,,Positive
السرعه في التوصيل المنزلي والتاكد من ان الاجهزه تعمل,ar,,Positive
لا شي اول واخر مره اشتري منكم سوء وضحك على العميل,ar,,Negative
دمتم بخير,fa,,Negative
أشكر الموظف أسامة دراج في خدمة العملاء على حسن تعاونه خدمته لي حتى في خارج أوقات الدوام.,ar,,Positive
التركيب جعل ماء المكيف تملىء العماره من الخارج وفي الارضي واشتكى فيني صاحب العماره,ar,,Negative
التوصيل من اقرب فرع لدى العميل,ar,,Positive
الالتزام بالوقت المحدد,ar,,Positive
الدقة في الالتزام بالمواعيد,ar,,Positive
جيد جدا,ur,,Positive
شكرا,ar,,Positive
تزيد فتره العروض,ar,,Negative
شكرا ع الاسلوب  الراقي احمد,ar,,Positive
الشراء من اكسترا وعمل اشتراك في الصيانة,ar,,Positive
Aaaa,so,,Positive
شكرا جزيلا للبش مهندس براء,ar,,Positive
الله يسعد براء السالمي له كل الشكر والتقدير والاحترام,ar,,Positive
خدماتكم مميزة جدا لايوجد أفضل من خدمتكم مع العميل لذالك لااقتراح لنا بعد كذا,ar,,Positive
عروض اكسترا,ar,,Positive
وضع تاريخ للزياره حيث عند حجز موعد وصلني اميل بالحجز دون ذكر تاريخ الزياره,ar,,Positive
سيء سيء سيء ماتوقعت الصورة اللي كانت ببالي لشركتكم للأسف بهذا المستوى المتدني شريت من عندكم ايفونين وثلاجة وغسالتين وتلفزيون لكن يصل لكم مستوى انحدار للاسف لنفسي بتوهمي ان شركتكم عاليه بالقمة وصل بي الحال ان رفعت عليكم 4 شكاوي بوزارة التجارة عدم استقبال العملاء لجهة الصيانة وغسالتي عندكم فوق أسبوعين بدون تعويض ونفس المشاكل وقسمكم اللي بفروعكم ماله اي دور فقط إرسال بلاغ صيانة والصيانة بمزاجه يرد والواتس نفس الشي وماعنده اجابة لكن الله حسيبكم,ar,,Negative
Excellent,ca,,Positive
شكراً,ar,,Positive
تكرار التجربه,ar,,Positive
كل شي ازكي زيعطيكم العافية,ar,,Positive
"There was some grease on the back of the washing machine and on the power cable, but the staff's service was excellent.",en,,Positive
لا يوجد خدمه,ar,,Negative
Team is not profissional after installing the I found that there is a water leakage problem from the AC,en,,Negative
"thank you for good service,",en,,Positive
"المعاملة والاهتمام بالعميل داخل المعرض ولا أروع بل تفوق التوقعات، تغير جذري بصراحة ، اختلف الوضع للأفضل عن السنوات السابقة",ar,,Negative
Online shopping too difficult,en,,Negative
Every thing is different than others and the staff is more help and have high expedience,en,,Positive
Friendly staff,da,,Positive
Extra gives extra opportunities like extra safeguard,ca,,Positive
It's a good experience,en,,Positive
Take too much time but it's ok. Thank u,en,,Neutral
تحديد الوقت حسب وقت العميل وتوفره - المنتج يطلع منه اصوات غريبة وطريقة التركيب ماكانت جيدة,ar,,Negative
وجود شخص آخر مع موظف التوصيل لمساعدته في حمل الأشياء الثقيلة,ar,,Positive
Better give roughly 2 hrs not thevwhole day,en,,Negative
Quick Service,en,,Positive
مشكورين,ar,,Negative
أرجو أن يكون اول اتصال قبل نهاية الأسبوع الأول,ar,,Negative
مطلوب توزيع ارقام للانتظار وليس عشوائي,ar,,Positive
طلع في الغساله صوت قوي وقت الغسيل ما عمرنا سمعناه,ar,,Negative
يجب تحسين خدمات ما بعد البيع الصيانة في وقت سريع,ar,,Positive
شكراً إكسترا,ar,,Positive
زيادة عربات ومنافذ التوصيل لتقليل  مدة التوصيل وهى المدة من  زمن الطلب حتى تسليم المنتح,ar,,Positive
الشكر موصول لشركة اكسترا على بذل الجهود والتميز في الخدمة المقدمة للعملاء كما أشكر  الأخوان / مصطفى وبهاء على حسن تعاملهم ومجهودهم,ar,,Positive
تحديد الوقت بالضبط وليس جعله مفتوح على الفتره كامله,ar,,Negative
شكراً لكم,ar,,Positive
انا اشتريت منكم تلفزيونين ومكنسة َوفرن خلال 4 شهور يعني اكثر من  8 آلاف لازم عطيتوني جود الذهبي هدية,ar,,Negative
حلووو,ar,,Positive
🌹🌹,emoji,🌹🌹,Neutral
"مع الأسف لن انصح احد بالشراء منكم، حيث أنكم لم تقوموا بتوصيل المشتريات الي مكان المكتوب في التسليم",ar,,Negative
لايوجد ملاحظات,ar,,Negative
خدمة التركيب,ar,,Positive
"ماسبب الزامي بدفع 99 ريال لتوصيل ، المنتج يجي بسيارتي ليش ادفع توصيل كلمت الموظف يقول لي لازم توصيل",ar,,Negative
زين وعدل,ar,,Positive
لابد من اختبار فنين تركيب محترفين جاء الفني لتركيب عدد ٢ تكيف ولكن عندما وصل الموقع رفض التركيب وتم إعادة المنتجات وكلفني 1000 ريال في التركيب الخارجي,ar,,Negative
الحضور الساعة الثانية ظهرا وانا للتو عائد من العمل غير مقبول هذا,ar,,Negative
الموظف محمد مجلي متعاون جداً وكل الزملاء في الفرع ايضاً لهم مني كل الشكر والتقدير,ar,,Positive
كنت اتمني يكون التركيب مجانا لاني دافعه فلوس التوصيل وكرسي الاسترخاء تركيبه جدا سهل ولكن يحتاج رجل يركبه,ar,,Neutral
تجربه ممتازة,ar,,Positive
"I have purchased LED on 17th  locally but still not delivered ,and I purchased a something internationally and that delivered with 3 days. I filled a complain last Thursday and your team promised to deliver it on Saturday, that also never happened",en,,Negative
التخفيضات والأسعار مناسبة.,ar,,Positive
الوقت حالي لا ارغب,ar,,Negative
ضبط دوام العاملين في المعرض,ar,,Positive
الخصومات والتخفيضات البطلة 👍🏻,ar,👍🏻,Positive
شكرا,ar,,Positive
الغاء خاصية التغليف الحراري من المعارض الخامات سيئة جدا لا تصمد لاكثر من اسبوع ومضيعه للوقت اكثر من زيارة للتغيير وبدون فائدة,ar,,Negative
To improve,sl,,Positive
إعطاء دورات كيف تتعامل مع العملاء للموظفين,ar,,Positive
Variety of products,en,,Positive
Keep making disconnects,nl,,Positive
بقترح لو تضيفوا بجوار منتجاتكم الاسكوتر الكهربائي,ar,,Negative
staff cooperatives disappoint,it,,Negative
First time try to shopping online at extra store with best responsibility work out etc,en,,Positive
المعروف لا يعرف.. عروض حقيقة.. دقة في المواعيد.. تنظيم عالي جدا.. شكرا اكسترا,ar,,Negative
"خدمة التوصيل و تركيب الأجهزة في المنزل سيئة لأبعد درجة ، الكل يعرف ان اكسترا لديهم خدمة لا يعلى عليها ولكن مؤخراً أتوقع انه تم التعاقد من شركة اسمها الصقور سيئة للغاية ، جاني الموظف و ركب المكيف غلط اول شي، وثاني شي ما ركب مستلزمات المكيف وثالث شي ركب المكيف مايل  و رابع شي ركب المكيف بدون فيش، مجرد بس حشروا بالقوة في الجدار و راح ، ايش هذي الخدمة؟يعني هذا خطر أصلا على اهلي لانو ممكن السلك يسوي التماس كهربائي ونموت، مين يعوضنا بعدين ؟ حداث وماتو الجماعة؟ مو معقول والله !!!! اضطريت اجيب عامل و ادفع له فلوس عشان يركب لي و يزبط الأغلاط الي سووها وحسبي الله عليهم.",ar,,Negative
"احتساب نقاط عند شراء العميل لاحد الأصناف من اكسترا أي مقابل كل ؟؟ ريال يحتسب كذا ؟؟نقطة قابله بعد تجميع عدد من النقاط ان يتم خصم مبلغ ما تعادله النقاط من ريال من قيمة اي منتج يتم شراءه من اكسترا خلال صلاحية مدة فاعلية النقاط،متمنياًلكم التوفيق.",ar,,Negative
اشكر موظفين فرع الشفاء عبدالمجيد ومهند و محمد فتحي,ar,,Positive
زيادة نسبة العروض,ar,,Negative
Perhaps a place for both shopping and dining.,en,,Positive
Good warranty,en,,Positive
ممتازين,ar,,Positive
تعامل سئ جدا حسبي الله ونعم الوكيل,ar,,Positive
ممتاز,ar,,Positive
توصيل ف مواعيد متفق عليه,ar,,Neutral
Satisfied,en,,Positive
Thinks,en,,Positive
Greet customer service,en,,Positive
لا يوجد,ar,,Neutral
لا يوجد,ar,,Neutral
راضي تماماً,ar,,Negative
شكرا لكم,ar,,Positive
شكراً خدمه ممتازه,ar,,Positive
السرعه القصوى,ar,,Negative
حسن التعامل,ar,,Positive
رسوم التوصيل تكون اقل🌚✌🏻,ar,🌚✌🏻,Positive
يجب على العامل احترام سلوكة وعدم التحدث الا في الشي الذي قام بتوصيله اما بالنسبة لتركيب جيد لكن ملاحظتي  عليهم فوضويين بعض الشي منزالواجب افامهم السلوك الجيد والانطباع البناء الذي يعكس سمعة متجر أكسترأ المتميز,ar,,Negative
الموظف جيد,ar,,Positive
الاهتمام بالمواعيد,ar,,Positive
"PRODUCT IS NOT READY FOR PICK UP WHEN IM ARRIVED IN STORE , still need to wait for the product",en,,Negative
التوصيل سريع,ar,,Positive
To be delivered on the same day.,en,,Positive
شكرا,ar,,Positive
The quick speed of repairing,en,,Positive
خدمة الاتصال لا تليق باكسترا محد يرد واذا رد بعد 10 و 15 دقيقه,ar,,Negative
Various brands selection,en,,Positive
شكرا,ar,,Positive
العروض والإعلانات الواضحة الصحيحة مثل مايتم الإعلان عنها كذالك خدمة العملاء في المعرض,ar,,Positive
Very very bad,af,,Negative
لايوجد,ar,,Neutral
Everything is okay,en,,Neutral
Excellent costumer dealing of Mr Ahmad Asghar with the Customer.,en,,Positive
Everything was very bad,en,,Negative
Good service appreciate your staff support,en,,Positive
Nice app and service,en,,Positive
Ok,af,,Neutral
المنتج به مشكله في التشغيل وتم رفع طلب وقالولي استرجاع مين يعوضني على ٥ ايام بدون شاشه حتى لو رجعتلي الفلوس,ar,,Negative
"Excellent service, hence no comment",fr,,Positive
Faster online delivery,da,,Positive
ليش 99 توصيل مو شامل تركيب الكنبه في مواقع كثير توصيل اقل,ar,,Neutral
كفيتوا ووفيتوا,ar,,Positive
جنسيته غير مصري . لماذا للأسف لانهم ماعندهم اللباقة والاحترام والاستخفاف بالأنظمة والتعليمات والتحايل عليها بأي طريقة,ar,,Positive
كويس,ar,,Positive
لايوجد مصدقيه للاسف,ar,,Positive
گڈ,ur,,Negative
ممتاز جدا,fa,,Positive
تم تركيب المكيفات ولكنهم تركوا الكراتين مرميع في الغرف ولم ينظفوا,ar,,Negative
Staff was very friendly and supportive I really appreciate them,en,,Positive
I ordered fortnite v-Bux but i didnt recieve any email regarding my order,en,,Negative
تقديم هدية  كوبون خصم,ar,,Positive
ممتازه  جدا,fa,,Positive
Covered parking,no,,Positive
شكرا لكم,ar,,Positive
شكراً لخدمة تواصل ولاكن مشكلتي لازالت عالقه حتى الان,ar,,Positive
للأسف التطبيق بلغه الانجليزي لو في خيارات اللغه راح يكون أفضل,ar,,Positive
التوصيل من امس تم التواصل ورسالة منكم بالاستلام امس الى الان لم يتم التوصيل الرد في x تصلكم بعد 4 ايام المنتج داخل سيارة المندوب,ar,,Negative
😚,emoji,😚,Neutral
جيد,ar,,Positive
اشكركم جزيل الشكر مصداقيه وفنيين اكفاء,ar,,Positive
فرع سي وإدارة تحتاج تبديل المجمعه,ar,,Positive
تجربة رائعة وموظف ممتاز,ar,,Positive
تمام,ar,,Positive
الاستمرارية بهذه السرعة والمهنية في التعامل مع الزبون,ar,,Positive
السرعة في الخدمة,ar,,Positive
Prices and stuff,en,,Positive
Nice,ro,,Positive
شكرا للبياع محمود في قسم التلفزيون على الاحترام والمساعده,ar,,Positive
استورد والله الموفق,ar,,Negative
خدمه التوصيل الدولى عن طريق اكسترا,ar,,Positive
الزحام شديد,ar,,Negative
فتح فرع إكسترا في مدينة صامطة.. علما بإن صامطة إقصادها قوي والسوق متحرك وجميع العلامات العالمية فتحت في صامطةو الدليل كثرة التوصيل الى المدينة أرجوا أن تأخذوا كلامي بمحمل الجد وأن يذهب إلى المسؤولين في شركة اكسترا,ar,,Positive
Fast approach,en,,Positive
"مشاكل التوصيل سوف تمنعني من الشراء، طلبت مرتين. الاولى موظف ارامكس يطلب مني تحديد الموقع الساعة ١١ صباحا ويتم التوصيل الساعة ٧ مساء الثانية عن طريق البريد ولا يوصل للبيت وابحث في الصيدليات عن الطلب من حي الى حي والموقع المرسل منهم غلط والفرق بين الشراء والايصال ٧ ايام، اسعاركم رائعة لكن التوصيل يجعلني ادفع عند غيركم مقابل جودة وسرعة ومصداقية التوصيل",ar,,Negative
مكان للانتظار,ar,,Positive
تكرار العروض,ar,,Positive
الكاشير يكون الطف في المعرض,ar,,Negative
احسن صيانة,ar,,Positive
الرد بسرعة والتعاون,ar,,Positive
اسوء تجربه شراء ان شاء الله مانعيدها,ar,,Negative
شكر لكم,ar,,Positive
يعطيكم العافيه,ar,,Positive
ب,fa,,Positive
اشكركم على الاهتمام وحل المشاكل بتوفيق دائما,ar,,Positive
خدمه العملاء جدا سيئه في فرع موظفين مشغولين بجولاتهم و مافي احد يساعد من خدمة العملاء او بايعين,ar,,Neutral
Many thanks,en,,Positive
Good technician,en,,Positive
اخذت كفر ايفون ١٦ بس خرب جوالي صغير,ar,,Negative
متتالية العروض والاهتمام اكثر بخدمة العملاء ومتابعتهم في تقديم خدمة الصيانة,ar,,Neutral
Improving prices and loyalty program,en,,Positive
Every thing,en,,Positive
Good staff 👍,cy,👍,Positive
Shopping,tl,,Positive
أشكو الموظف المصري ابو يوسف ما قصر معانل,ar,,Negative
لا شي,ar,,Neutral
"خبز و جبن و بطاطس، لانه فنان",ar,,Positive
شكرا لكم,ar,,Positive
يفضل عمل فريق خدمة العملاء للاتصال على مدار وقت عمل محل اكسترا من الساعة ٩ صباحاً الى الساعة ١١ مساءً,ar,,Neutral
لا يوجد حاليا,ar,,Negative
شكرا لكم,ar,,Positive
F,de,,Positive
المنتج يختلف عن المنتج المطلوب,ar,,Negative
"Quality of repair was very good,",en,,Positive
Stop paying for extra warranty .,en,,Negative
Repaired something incorrect,en,,Negative
"products are exensive, no better response from staff.  cashier very slow and not happy to assist",en,,Negative
شكرا جزيلا لكم,ar,,Positive
لا شي,ar,,Neutral
"اتمنى مع توصيل مكيف الشباك ان يكون هناك خيارات اذا ارغب بان تأتو برأس المكيف وقاعدته معه لانكم اخبر بالاجهزه وماتتحمله ، وشكراً لكم لاهتمامكم بالعملاء ممتنة جدا",ar,,Positive
"Installation process was very casual, it seems that they are not willing to do installation. they didn't connect electric connection properly",en,,Negative
اتمنى تكون دقيقين في اختيار فنيين التركيب وانهم على اعلى مستوى من الخدمه💁🏻‍♂️,ar,💁🏻♂,Positive
يسجلك عالكرتون قابل للكسر,ar,,Positive
اسلوب موضف التوصيل وسماحته اهم شي بعضهم تقل مغصوب علا التوصيل,ar,,Positive
المنتج فيه عيب مصنعي والفرع يقول لي جيبه لي ماني قدر أرجعه المنتج غسالة كبيرة ومعاناة عشان ارجع حقوقي دافع فلوس في منتج زفت تعالوا خذوه حسبي الله عليكم شركة,ar,,Negative
شكرآ جزيلآ لكم🌹,ar,🌹,Positive
ماشاءالله كل شي تمام,ar,,Positive
احتراف فنيين التركيب وتعاونهم,ar,,Positive
لا شيء . شكرا جزيلا,ar,,Negative
حراميه جوال اشتريه من عندكم ب ٢٤٠٠ وهو في السوق قيمه ١٩٠٠ ليش هذا الظلم كله,ar,,Positive
عمل جداول واضحة لأوقات التوصيل,ar,,Positive
اخذت مكيف ويوم الثاني ودي استبدله طلبه خصم ٣٠٪,ar,,Negative
It is perfect. Wonderful delivery staff.,en,,Positive
Great work,en,,Positive
حسن التعامل,ar,,Positive
اقترح ان يتم ارسال رسائل من خلال الواتس على العملاء في حال وجود عروض محدودة وسريعة مثل اخر قطعة,ar,,Neutral
في حال المنتج ما ينفع له صيانه مثل الشواحن يستبدل شاحن جديد لان الشواحن لا تصين بل تعوض بشاحن جدي,ar,,Negative
To get more experience when you want to change the old mobile,en,,Positive
Enough Cashiers and speedy checkout,en,,Positive
Muna worked very hard and helped in making decision for which TV i should get,en,,Positive
"It is better to prevent employees from following me, and stay in a place where I can see them when I need them",en,,Neutral
التسوق مع مساعدة النساء بفتيات حتى تاخذ المرأه راحتها في الاختيار,ar,,Positive
بعض المنتجات في الموقع الاكتروني لا تتوفر في كل الفروع,ar,,Negative
لكم مني كل التقدير,ar,,Positive
More discounts would be nice,en,,Neutral
نشكرا كل الموظفين العاملين على الاداء الجميل,ar,,Positive
Ok,af,,Neutral
تروزيع ارقام للمراجعين و ليس الدخول عشوائي,ar,,Negative
More gifts for kids that they can benefit.,en,,Positive
"Let us choose the product first the agent should tell us the features, they follow us like we are thieves",en,,Positive
